4,4,4,5,-1,-1,-1,-1,-1,3,4,4,4,4,4,4
4,4,4,5,-1,-1,-1,-1,0,4,4,4,4,4,4,4
4,4,4,5,-1,-1,-1,-1,3,4,7,7,11,4,4,4
7,7,11,15,2,-1,-1,0,17,5,-1,-1,6,11,4,4
-1,-1,6,11,5,-1,-1,3,4,8,-1,-1,-1,6,11,4
-1,-1,-1,3,15,2,-1,3,5,-1,-1,-1,-1,-1,6,11
-1,-1,-1,6,11,5,-1,3,5,-1,0,2,-1,-1,-1,6
-1,-1,-1,-1,6,8,-1,3,5,-1,3,4,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,3,5,-1,6,11,15,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,3,5,-1,-1,6,11,15,1,1
2,-1,-1,-1,-1,-1,-1,3,5,-1,-1,-1,6,7,7,4
15,1,2,-1,-1,-1,-1,3,15,2,-1,-1,-1,-1,-1,3
4,4,15,2,-1,-1,-1,6,11,15,16,2,-1,-1,-1,3
4,4,4,5,-1,-1,-1,-1,6,7,7,8,-1,-1,-1,3
4,4,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
4,4,4,5,-1,-1,-1,-1,-1,0,1,1,1,1,1,17
