4,4,4,5,-1,6,7,11,4,4,4,4,4,4,4,4
4,4,9,8,-1,-1,-1,6,11,4,4,4,4,4,4,4
4,4,5,-1,-1,-1,-1,-1,6,7,7,7,11,4,4,4
4,9,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,4,4
4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,11,4
4,15,1,1,1,1,1,1,1,2,-1,-1,-1,-1,3,4
7,7,7,7,7,7,7,11,4,15,2,-1,-1,-1,6,7
-1,-1,-1,-1,-1,-1,-1,6,7,11,5,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,-1,-1,-1,-1,-1
1,1,1,1,1,2,-1,-1,-1,6,8,-1,-1,-1,-1,0
4,9,7,7,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17
4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,4
4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,4,4
4,15,2,-1,-1,-1,-1,-1,-1,-1,0,1,17,4,4,4
4,4,15,2,-1,-1,-1,-1,-1,0,17,4,4,4,4,4
