4,4,4,4,7,7,7,7,8,-1,-1,6,11,4,4,4
4,4,9,8,-1,-1,-1,-1,-1,-1,-1,-1,6,11,4,4
9,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,11
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
15,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,17
4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,17,4,4
4,15,16,2,-1,-1,-1,-1,-1,0,1,17,4,4,4,4
